what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255696622036
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696744997
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696767411
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696767653
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696768966
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696769262
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696770098
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255696824358
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697042869
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1255697042885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697044947
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697068189
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697080680
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697426716
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697445954
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255697796177
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255697813163
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255697849071
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1255697856816
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255697857964
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255697858144
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255697858302
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1255697900817
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255697901562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255697916329
