what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871750679
error,log,,,"Error logged from Debug Core: ",1255871750799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871754691
error,log,,,"Error logged from Debug Core: ",1255871838972
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871840552
error,log,,,"Error logged from Debug Core: ",1255871840632
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871890052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871975873
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255871982398
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1255871994735
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1255871994797
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1255871995067
activated,perspective,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1255871995110
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255871995190
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1255871995294
executed,command,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1255871995294
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1255872002919
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872003672
executed,command,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.synchronizeLast",1255872104958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872104974
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872107143
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872176494
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872200989
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872229831
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255872230461
